case_number,court_division,court_location,disposition,disposition_date,disposition_found,duration,execution,file_date,hasAttyD,hasAttyP,inhad,inhap,initiating_action,isEntityD,isEntityP,judgment,judgment_for,judgment_for_pdu,judgment_total,latest_docket_date,property_address_city,property_address_state,property_address_zip,reason
2034SU000042,attleboro district,,Pending,,,,,11/9/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,11/9/2020,Attleboro,MA,02703,unknown/other
2034SU000043,attleboro district,,Pending,,,,,11/12/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,11/12/2020,Attleboro,MA,02703,unknown/other
2034SU000044,attleboro district,,Pending,,,,,11/13/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,11/13/2020,Attleboro,MA,02703,unknown/other
2034SU000048,attleboro district,,Pending,,,,,11/24/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,11/24/2020,Attleboro,MA,02703,unknown/other
2034SU000050,attleboro district,,Pending,,,,,11/24/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,11/24/2020,Attleboro,MA,02703,unknown/other
2034SU000045,attleboro district,,Pending,,,,,12/1/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/1/2020,Norton,MA,02766,unknown/other
2034SU000047,attleboro district,,Pending,,,,,12/4/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/4/2020,Attleboro,MA,02703,unknown/other
2034SU000052,attleboro district,,Pending,,,,,11/30/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,11/30/2020,Mansfield,MA,02048,unknown/other
2034SU000053,attleboro district,,Pending,,,,,11/30/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,11/30/2020,Mansfield,MA,02048,unknown/other
2034SU000054,attleboro district,,Pending,,,,,11/30/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,11/30/2020,,,,unknown/other
2034SU000049,attleboro district,,Pending,,,,,12/28/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/24/2020,Attleboro,MA,02703,unknown/other
2134SU000018,attleboro district,,Pending,,,,,3/15/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,3/15/2021,Attleboro,MA,02703,non-payment
2134SU000019,attleboro district,,Pending,,,,,3/22/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,3/22/2021,Attleboro,MA,02703,unknown/other
2134SU000020,attleboro district,,Pending,,,,,3/30/2021,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,3/30/2021,Attleboro,MA,02703,unknown/other
2134SU000021,attleboro district,,Pending,,,,,4/5/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,4/5/2021,Attleboro,MA,02703,non-payment
2134SU000023,attleboro district,Virtual Case Management Conference,Pending,,,,,4/29/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,6/15/2021,North Attleboro,MA,02760,cause
2134SU000024,attleboro district,Virtual Case Management Conference,Pending,,,,,5/10/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,6/15/2021,Attleboro,MA,02703,cause
2134SU000025,attleboro district,Virtual Case Management Conference,Pending,,,,,5/14/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,6/15/2021,Attleboro,MA,02703,non-payment
2134SU000022,attleboro district,Virtual Case Management Conference,Pending,,,,,6/9/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,6/15/2021,Attleboro,MA,02703,non-payment
2134SU000026,attleboro district,Virtual Case Management Conference,Pending,,,,,6/15/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,6/16/2021,Attleboro,MA,02703,non-payment
2134SU000027,attleboro district,Virtual Case Management Conference,Pending,,,,,6/15/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,6/16/2021,Attleboro,MA,02703,non-payment
2134SU000028,attleboro district,Virtual Case Management Conference,Pending,,,,,6/18/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,6/18/2021,Attleboro,MA,02703,cause
2134SU000029,attleboro district,Virtual Case Management Conference,Pending,,,,,7/6/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,7/7/2021,Norton,MA,02766,cause
2134SU000030,attleboro district,,Pending,,,,,7/7/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,7/8/2021,North Attleboro,MA,02760,non-payment
2134SU000031,attleboro district,,Pending,,,,,7/8/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,7/8/2021,,,,non-payment
2134SU000033,attleboro district,Virtual Case Management Conference,Pending,,,,,7/12/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,7/20/2021,Attleboro,MA,02703,non-payment
2134SU000034,attleboro district,Virtual Case Management Conference,Pending,,,,,7/14/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,7/20/2021,,,,non-payment
2134SU000036,attleboro district,Virtual Case Management Conference,Pending,,,,,7/20/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,7/20/2021,North Attleboro,MA,02760,cause
2134SU000037,attleboro district,Virtual Case Management Conference,Pending,,,,,7/20/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,7/20/2021,North Attleboro,MA,02760,non-payment
2134SU000038,attleboro district,Virtual Case Management Conference,Pending,,,,,7/21/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,7/23/2021,North Attleboro,MA,02760,non-payment
2134SU000039,attleboro district,Virtual Case Management Conference,Pending,,,,,7/30/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,8/3/2021,Attleboro,MA,02703,non-payment
2134SU000040,attleboro district,,Pending,,,,,8/11/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/11/2021,Attleboro,MA,02703,cause
2134SU000042,attleboro district,,Pending,,,,,8/16/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/16/2021,North Attleboro,MA,02760,cause
2134SU000043,attleboro district,,Pending,,,,,8/16/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/16/2021,Norton,MA,02766,cause
2134SU000044,attleboro district,,Pending,,,,,8/30/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,8/30/2021,Attleboro,MA,02703,non-payment
2134SU000045,attleboro district,Virtual Case Management Conference,****** on 09/09/2021,9/9/2021,Other,10,,8/30/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,9/9/2021,Mansfield,MA,02048,non-payment
2134SU000046,attleboro district,Virtual Case Management Conference,Pending,,,,,9/13/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,9/14/2021,Attleboro,MA,02703,non-payment
2134SU000047,attleboro district,Virtual Case Management Conference,Pending,,,,,9/23/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,9/23/2021,Attleboro,MA,02703,non-payment
2134SU000048,attleboro district,Virtual Case Management Conference,Pending,,,,,9/22/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,9/23/2021,Mansfield,MA,02048,non-payment
2134SU000049,attleboro district,Virtual Case Management Conference,Pending,,,,,9/21/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,9/23/2021,Attleboro,MA,02703,non-payment
2134SU000051,attleboro district,Virtual Case Management Conference,Pending,,,,,9/24/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,9/30/2021,Attleboro,MA,02703,cause
2134SU000052,attleboro district,Virtual Case Management Conference,Pending,,,,,9/20/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,9/30/2021,Mansfield,MA,02048,cause
2134SU000050,attleboro district,Virtual Case Management Conference,Pending,,,,,9/27/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,9/30/2021,North Attleboro,MA,02760,non-payment
2134SU000053,attleboro district,Virtual Case Management Conference,Pending,,,,,9/29/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,10/1/2021,North Attleboro,MA,02760,non-payment
2134SU000054,attleboro district,Virtual Case Management Conference,Pending,,,,,10/6/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,10/6/2021,Attleboro,MA,02703,non-payment
2134SU000056,attleboro district,Virtual Case Management Conference,****** on 10/15/2021,10/15/2021,Other,7,,10/8/2021,0,1,0,1,Public Housing Tenant Illegal Activity Declaratory Judgment (c139 &#167;19),0,0,,,,,10/15/2021,Attleboro,MA,02703,unknown/other
2134SU000057,attleboro district,Virtual Case Management Conference,Pending,,,,,10/8/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,10/14/2021,North Attleboro,MA,02760,non-payment
2134SU000058,attleboro district,Virtual Case Management Conference,Pending,,,,,10/8/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,10/14/2021,North Attleboro,MA,02760,cause
2134SU000055,attleboro district,Virtual Case Management Conference,Pending,,,,,10/13/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,10/14/2021,Attleboro,MA,02703,non-payment
2134SU000059,attleboro district,Virtual Case Management Conference,Pending,,,,,10/12/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,10/14/2021,Attleboro,MA,02703,non-payment
2134SU000060,attleboro district,Virtual Case Management Conference,****** on 10/29/2021,10/29/2021,Other,10,,10/19/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,10/29/2021,,,,cause
2134SU000061,attleboro district,,Pending,,,,,10/21/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,10/21/2021,North Attleboro,MA,02760,cause
2134SU000062,attleboro district,,Pending,,,,,10/22/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,10/22/2021,Mansfield,MA,02048,non-payment
2134SU000063,attleboro district,,Pending,,,,,10/22/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,1,,,,,10/22/2021,Mansfield,MA,02048,non-payment
2134SU000064,attleboro district,,Pending,,,,,10/22/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,10/22/2021,Attleboro,MA,02703,cause
2048SU000009,ayer district,Case Management Conference - Summary Process,Pending,,,,,11/10/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/16/2020,Townsend,MA,01469,unknown/other
2048SU000010,ayer district,Case Management Conference - Summary Process,Pending,,,,,11/10/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/16/2020,Townsend,MA,01469,unknown/other
2048SU000011,ayer district,Case Management Conference - Summary Process,Pending,,,,,11/10/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/16/2020,Townsend,MA,01469,unknown/other
2048SU000012,ayer district,Case Management Conference - Summary Process,Pending,,,,,11/10/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/16/2020,Townsend,MA,01469,unknown/other
2048SU000013,ayer district,Case Management Conference - Summary Process,Pending,,,,,11/24/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,12/1/2020,Shirley,MA,01464,unknown/other
2048SU000014,ayer district,Case Management Conference - Summary Process,Pending,,,,,12/1/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,12/1/2020,Townsend,MA,01469,unknown/other
2048SU000015,ayer district,Case Management Conference - Summary Process,Pending,,,,,12/10/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/28/2020,,,,unknown/other
2048SU000016,ayer district,Case Management Conference - Summary Process,Pending,,,,,12/18/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/28/2020,Pepperell,MA,01463,unknown/other
2048SU000017,ayer district,Case Management Conference - Summary Process,Pending,,,,,12/18/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/24/2020,Ayer,MA,01432,unknown/other
2048SU000018,ayer district,,Pending,,,,,12/31/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/31/2020,Pepperell,MA,01463,unknown/other
2148SU000001,ayer district,Case Management Conference - Summary Process,Pending,,,,,1/6/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,1/21/2021,Pepperell,MA,01463,unknown/other
2148SU000003,ayer district,Case Management Conference - Summary Process,Pending,,,,,1/12/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,1/21/2021,Ayer,MA,01432,unknown/other
2148SU000004,ayer district,Case Management Conference - Summary Process,Pending,,,,,1/28/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,1/28/2021,Shirley,MA,01464,unknown/other
2148SU000005,ayer district,,Pending,,,,,2/8/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,2/8/2021,Pepperell,MA,01463,non-payment
2148SU000006,ayer district,,Pending,,,,,2/11/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,2/11/2021,Westford,MA,01886,non-payment
2148SU000008,ayer district,Case Management Conference - Summary Process,Pending,,,,,4/14/2021,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,4/15/2021,Ashby,MA,01431,unknown/other
2148SU000009,ayer district,Case Management Conference - Summary Process,Pending,,,,,4/26/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,5/3/2021,Townsend,MA,01469,non-payment
2148SU000010,ayer district,Case Management Conference - Summary Process,Pending,,,,,5/4/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,5/10/2021,Ayer,MA,01432,non-payment
2148SU000011,ayer district,Case Management Conference - Summary Process,Pending,,,,,5/27/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,6/2/2021,Ayer,MA,01432,cause
2148SU000013,ayer district,Case Management Conference - Summary Process,Pending,,,,,6/14/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,6/24/2021,Ayer,MA,01432,cause
2148SU000014,ayer district,Case Management Conference - Summary Process,Pending,,,,,6/23/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,6/24/2021,Ayer,MA,01432,cause
2148SU000015,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/6/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,7/13/2021,Ayer,MA,01432,cause
2148SU000016,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/5/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,7/13/2021,Ayer,MA,01432,non-payment
2148SU000017,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/6/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,7/6/2021,Townsend,MA,01469,non-payment
2148SU000018,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/6/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,7/6/2021,Waltham,MA,02453,non-payment
2148SU000019,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/6/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,7/13/2021,Townsend,MA,01469,cause
2148SU000020,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/26/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,7/28/2021,Pepperell,MA,01463,cause
2148SU000021,ayer district,Case Management Conference - Summary Process,Pending,,,,,7/28/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,7/29/2021,Townsend,MA,01469,cause
2148SU000023,ayer district,Case Management Conference - Summary Process,Pending,,,,,8/9/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/9/2021,Ayer,MA,01432,cause
2148SU000024,ayer district,Case Management Conference - Summary Process,Pending,,,,,8/16/2021,0,1,0,1,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/16/2021,Ayer,MA,01432,cause
2148SU000025,ayer district,Case Management Conference - Summary Process,Pending,,,,,8/17/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/17/2021,Townsend,MA,01469,cause
2148SU000026,ayer district,Case Management Conference - Summary Process,Pending,,,,,8/24/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,8/24/2021,Ashby,MA,01431,cause
2148SU000027,ayer district,Case Management Conference - Summary Process,Pending,,,,,9/2/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,9/2/2021,West Townsend,MA,01474,non-payment
2148SU000028,ayer district,Case Management Conference - Summary Process,Pending,,,,,9/9/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,9/9/2021,Shirley,MA,01464,cause
2148SU000029,ayer district,Case Management Conference - Summary Process,Pending,,,,,9/20/2021,0,0,0,0,Summary Process - Residential-Cause other than Non payment of rent.,0,0,,,,,9/20/2021,Groton,MA,01450,cause
2148SU000030,ayer district,Case Management Conference - Summary Process,Pending,,,,,9/20/2021,0,1,1,0,Summary Process - Residential-Cause other than Non payment of rent.,0,1,,,,,9/21/2021,Townsend,MA,01469,cause
2148SU000031,ayer district,Case Management Conference - Summary Process,Pending,,,,,10/13/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,10/13/2021,Boxborough,MA,01719,non-payment
2025SU000051,barnstable district,Motion Hearing (CV),Pending,,,,,10/30/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,11/24/2020,Hyannis,MA,02601,unknown/other
2025SU000052,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/2/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/11/2020,Centerville,MA,02632,unknown/other
2025SU000054,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/9/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/11/2020,Hyannis,MA,02601,unknown/other
2025SU000055,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/9/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/17/2020,Hyannis,MA,02601,unknown/other
2025SU000056,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/9/2020,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,12/17/2020,Hyannis,MA,02601,unknown/other
2025SU000057,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/9/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,12/11/2020,Sandwich,MA,02563,unknown/other
2025SU000058,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,Sandwich,MA,02563,unknown/other
2025SU000059,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/13/2020,Hyannis,MA,02601,unknown/other
2025SU000060,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/16/2020,Hyannis,MA,02601,unknown/other
2025SU000061,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/16/2020,Hyannis,MA,02601,unknown/other
2025SU000062,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/18/2020,Sandwich,MA,02563,unknown/other
2025SU000063,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/11/2020,South Yarmouth,MA,02664,unknown/other
2025SU000064,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,Hyannis,MA,02601,unknown/other
2025SU000065,barnstable district,Case Management Conference - Summary Process,Disposed by Transfer on 12/03/2020,12/3/2020,Heard,17,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/3/2020,Hyannis,MA,02601,unknown/other
2025SU000066,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/17/2020,Marstons Mills,MA,02648,unknown/other
2025SU000067,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,South Yarmouth,MA,02664,unknown/other
2025SU000068,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,South Yarmouth,MA,02664,unknown/other
2025SU000069,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,South Yarmouth,MA,02664,unknown/other
2025SU000070,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,South Yarmouth,MA,02664,unknown/other
2025SU000071,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/16/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,Barnstable,MA,02630,unknown/other
2025SU000073,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/23/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,Centerville,MA,02632,unknown/other
2025SU000074,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/23/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,12/13/2020,Hyannis,MA,02601,unknown/other
2025SU000075,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/23/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/13/2020,Hyannis,MA,02601,unknown/other
2025SU000076,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/23/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/13/2020,West Yarmouth,MA,02673,unknown/other
2025SU000077,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/30/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/24/2020,Hyannis,MA,02601,unknown/other
2025SU000078,barnstable district,Case Management Conference - Summary Process,Pending,,,,,11/30/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/24/2020,East Sandwich,MA,02537,unknown/other
2025SU000080,barnstable district,Case Management Conference - Summary Process,****** on 12/14/2020,12/14/2020,Other,14,,11/30/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/16/2020,Forestdale,MA,02644,unknown/other
2025SU000081,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/7/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,12/24/2020,West Yarmouth,MA,02673,unknown/other
2025SU000082,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,1/7/2021,Hyannis,MA,02601,unknown/other
2025SU000083,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,12/29/2020,Centerville,MA,02632,unknown/other
2025SU000084,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,1/4/2021,Barnstable,MA,02630,unknown/other
2025SU000085,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/30/2020,South Yarmouth,MA,02664,unknown/other
2025SU000086,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,12/31/2020,South Yarmouth,MA,02664,unknown/other
2025SU000087,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/14/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,1/6/2021,South Yarmouth,MA,02664,unknown/other
2025SU000088,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/22/2020,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,1/14/2021,span,span,span,unknown/other
2025SU000089,barnstable district,Case Management Conference - Summary Process,Pending,,,,,12/28/2020,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,1/8/2021,Hyannis,MA,02601,unknown/other
2125SU000001,barnstable district,Case Management Conference - Summary Process,Pending,,,,,1/4/2021,1,1,1,1,Summary Process - Residential (c239),0,0,,,,,1/22/2021,Hyannis,MA,02601,unknown/other
2125SU000002,barnstable district,Case Management Conference - Summary Process,Pending,,,,,1/11/2021,0,0,0,0,Summary Process - Residential (c239),0,1,,,,,1/11/2021,Hyannis,MA,02601,unknown/other
2125SU000003,barnstable district,Case Management Conference - Summary Process,Pending,,,,,1/25/2021,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,1/25/2021,Forestdale,MA,02644,unknown/other
2125SU000004,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/1/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,2/4/2021,West Yarmouth,MA,02673,unknown/other
2125SU000005,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/1/2021,0,0,0,0,Summary Process - Residential (c239),0,0,,,,,2/1/2021,Hyannis,MA,02601,unknown/other
2125SU000006,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/1/2021,0,1,1,0,Summary Process Residential Non-payment of Rent,0,1,,,,,2/4/2021,Hyannis,MA,02601,non-payment
2125SU000007,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/8/2021,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,2/8/2021,Centerville,MA,02632,unknown/other
2125SU000008,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/16/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,2/16/2021,Centerville,MA,02632,non-payment
2125SU000009,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/16/2021,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,2/16/2021,West Yarmouth,MA,02673,unknown/other
2125SU000010,barnstable district,Case Management Conference - Summary Process,Pending,,,,,2/22/2021,0,0,0,0,Summary Process Residential Non-payment of Rent,0,0,,,,,2/22/2021,Hyannis,MA,02601,non-payment
2125SU000011,barnstable district,Virtual Case Management Conference,Pending,,,,,3/1/2021,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,3/1/2021,Hyannis,MA,02601,unknown/other
2125SU000012,barnstable district,Virtual Case Management Conference,Pending,,,,,3/1/2021,1,1,1,1,Summary Process Residential Non-payment of Rent,0,1,,,,,3/12/2021,Yarmouth Port,MA,02675,non-payment
2125SU000013,barnstable district,Virtual Case Management Conference,Pending,,,,,3/1/2021,0,1,1,0,Summary Process - Residential (c239),0,1,,,,,3/1/2021,West Yarmouth,MA,02673,unknown/other
2125SU000014,barnstable district,Virtual Case Management Conference,Pending,,,,,3/8/2021,0,1,0,1,Summary Process Residential Non-payment of Rent,0,0,,,,,3/9/2021,Forestdale,MA,02644,non-payment
2125SU000015,barnstable district,Virtual Case Management Conference,Pending,,,,,3/15/2021,0,1,0,1,Summary Process - Residential (c239),0,0,,,,,3/26/2021,Sandwich,MA,02563,unknown/other
2125SU000016,barnstable district,Virtual Case Management Conference,Pending,,,,,3/15/2021,1,1,1,1,Summary Process Residential Non-payment of Rent,0,1,,,,,3/26/2021,Hyannis,MA,02601,non-payment
